Date,Open,High,Low,Volume,Close,Open,High,Low,Volume,Close
01/10/2014,387.427002,391.378998,380.779999,26229400,383.61499,0.001888223,0.001607467,0.00191791,7.47E-05,1.38E-09
02/10/2014,383.988007,385.497009,372.946014,21777700,375.071991,0.001857379,0.001554836,0.001846114,6.20E-05,1.32E-09
03/10/2014,375.181,377.695007,357.859009,30901200,359.511993,0.001778389,0.001485024,0.001707845,8.80E-05,1.22E-09
04/10/2014,359.891998,364.487,325.885986,47236500,328.865997,0.001641264,0.001366841,0.001414819,0.000134532,1.01E-09
05/10/2014,328.915985,341.800995,289.29599,83308096,320.51001,0.001363443,0.001163849,0.001079481,0.0002373,9.54E-10
06/10/2014,320.389008,345.134003,302.559998,79011800,330.07901,0.001286966,0.001193673,0.001201042,0.00022506,1.02E-09
07/10/2014,330.584015,339.247009,320.481995,49199900,336.187012,0.001378404,0.001140997,0.001365293,0.000140126,1.06E-09
08/10/2014,336.115997,354.364014,327.187988,54736300,352.940002,0.001428019,0.001276262,0.001426752,0.000155899,1.17E-09
09/10/2014,352.747986,382.726013,347.687012,83641104,365.026001,0.00157719,0.001530041,0.001614621,0.000238249,1.25E-09
10/10/2014,364.687012,375.066986,352.963013,43665700,361.562012,0.00168427,0.001461509,0.001662974,0.000124359,1.23E-09
11/10/2014,361.362,367.19101,355.950989,13345200,362.299011,0.001654448,0.001391036,0.001690358,3.80E-05,1.23E-09
12/10/2014,362.605988,379.433014,356.144012,17552800,378.549011,0.001665605,0.001500576,0.001692127,5.00E-05,1.34E-09
13/10/2014,377.92099,397.226013,368.897003,35221400,390.414001,0.001802964,0.001659785,0.001809005,0.000100301,1.42E-09
14/10/2014,391.691986,411.697998,391.324005,38491500,400.869995,0.001926475,0.001789279,0.002014543,0.000109617,1.49E-09
15/10/2014,400.954987,402.22699,388.765991,25267100,394.77301,0.002009554,0.001704533,0.0019911,7.19E-05,1.45E-09
16/10/2014,394.518005,398.807007,373.070007,26990000,382.556,0.001951821,0.001673932,0.00184725,7.68E-05,1.37E-09
17/10/2014,382.756012,385.477997,375.389008,13600700,383.757996,0.001846329,0.001554666,0.001868503,3.87E-05,1.38E-09
18/10/2014,383.976013,395.15799,378.971008,11416800,391.441986,0.001857271,0.001641281,0.001901331,3.25E-05,1.43E-09
19/10/2014,391.253998,393.938995,386.457001,5914570,389.54599,0.001922547,0.001630373,0.001969939,1.68E-05,1.42E-09
20/10/2014,389.230988,390.084015,378.252014,16419000,382.845001,0.001904402,0.00159588,0.001894742,4.67E-05,1.37E-09
21/10/2014,382.42099,392.645996,380.834015,14188900,386.475006,0.001843324,0.001618804,0.001918405,4.04E-05,1.40E-09
22/10/2014,386.118011,388.575989,382.248993,11641300,383.15799,0.001876482,0.001582386,0.001931373,3.31E-05,1.37E-09
23/10/2014,382.962006,385.048004,356.446991,26456900,358.416992,0.001848177,0.001550818,0.001694904,7.53E-05,1.21E-09
24/10/2014,358.591003,364.345001,353.304993,15585700,358.345001,0.001629595,0.00136557,0.001666108,4.44E-05,1.21E-09
25/10/2014,358.610992,359.860992,342.877014,18127500,347.270996,0.001629775,0.001325448,0.001570538,5.16E-05,1.13E-09
26/10/2014,347.487,359.221008,343.931,11272500,354.70401,0.001530005,0.001319721,0.001580198,3.21E-05,1.18E-09
27/10/2014,354.777008,358.631989,349.80899,13033000,352.989014,0.001595388,0.001314451,0.001634068,3.71E-05,1.17E-09
28/10/2014,353.214996,359.984009,352.678986,7845880,357.618011,0.001581379,0.001326549,0.001660371,2.23E-05,1.20E-09
29/10/2014,357.088989,357.833008,335.342987,18192700,335.591003,0.001616124,0.001307302,0.001501491,5.18E-05,1.06E-09
30/10/2014,335.709015,350.912994,335.071991,30177900,345.304993,0.001424369,0.001245382,0.001499007,8.59E-05,1.12E-09
31/10/2014,345.009003,348.045013,337.141998,12545400,338.321014,0.00150778,0.00121972,0.001517978,3.57E-05,1.07E-09
01/11/2014,338.649994,340.528992,321.054993,16677200,325.748993,0.001450747,0.001152468,0.001370545,4.75E-05,9.89E-10
02/11/2014,326.075012,329.049988,320.626007,8603620,325.891998,0.001337963,0.001049755,0.001366613,2.45E-05,9.90E-10
03/11/2014,325.569,334.002014,325.480988,12948500,327.553986,0.001333424,0.001094065,0.001411108,3.68E-05,1.00E-09
04/11/2014,327.161011,331.766998,325.076996,15655500,330.492004,0.001347703,0.001074066,0.001407405,4.46E-05,1.02E-09
05/11/2014,330.683014,343.368988,330.683014,19817200,339.485992,0.001379291,0.00117788,0.001458783,5.64E-05,1.08E-09
